,variance
ESRP2,38306.16352029305
ARPC1A,38304.808743318805
IFI30,38229.974915587794
MXD3,38172.05048323373
ANXA3,38046.38824108375
CKAP5,38039.42926469182
SLC25A3,38009.51578199117
FKBP8,37916.10189602612
TMED3,37886.32958320235
TPM1,37880.18811258593
RPL12,37785.87530244833
MAF1,37738.4068322557
NR4A1AS,37660.702213169614
DAAM1,37571.74669528251
ATP5MC3,37550.99454567827
CIB1,37519.94376170493
SERINC3,37514.88683991089
EBP,37446.67461348136
HSBP1,37416.70277363882
FANCI,37407.53136576762
MACROH2A1,37315.505502166736
RHOC,37279.8749060189
COG4,37274.84320533673
PPME1,37267.26418602109
ANXA1,37244.243257282695
SNRNP25,37224.610514948115
ACLY,37024.35978018671
UQCR10,36943.63579073997
PNKD,36934.7346930406
ESYT2,36815.4835891898
MEA1,36808.840840430275
ATP6V1F,36775.72763933128
IDH3G,36742.81135428485
CCN2,36657.14334340357
MCCC2,36646.3755826829
ATP5IF1,36581.96548330211
TIMELESS,36548.0489111861
NXF1,36485.992098751885
RBBP7,36469.21170697032
RBMX,36292.70389457714
PSMB4,35936.3234180416
TUBG1,35896.44123959381
CHD2,35747.7991743333
RAD51C,35738.52170109222
CSRNP1,35737.93189616278
EIF6,35610.629352179676
RPL19,35586.07750878296
TBC1D9,35524.593769223444
HDAC1,35494.91397481988
BRK1,35373.101048487435
GRAMD1A,35353.66355446798
GAS5,35328.24780938585
PNN,35316.066791519166
AHSA1,35273.40463138909
DDX24,35222.28279086297
RPS4X,35157.21207605979
TAPBP,35141.014777247685
CDC37,35133.42777466406
MTCH2,35115.12912662498
STC1,35059.45693273008
TMED2,35032.80307027738
P2RX5-TAX1BP3,34988.65517477064
COX6B1,34956.59405629298
PRKCD,34948.03075745361
SQLE,34891.00746380877
NDUFB2,34868.140418027986
GNAI2,34766.70604076392
SLC6A6,34746.3258923078
SMARCA4,34659.71137205585
SUMO3,34649.636159829395
TBRG4,34646.53334791458
ABCC3,34642.746640602585
PCIF1,34627.752176944225
CASP14,34625.059300370536
DCAF11,34587.52011537458
TOP2A,34485.25579265384
DBNDD1,34414.271731849636
KDELR2,34356.22313507309
ETS2,34319.750878296116
RBM23,34295.53538474154
INHA,34199.93082990447
DHX30,34180.67937063411
SERPINA3,34121.057509603386
SIPA1L2,34072.52835837219
F11R,34006.7786010143
MATN2,34004.898144983905
OLFM1,33963.57580687049
LAPTM4B,33915.20756496658
ATP5MG,33613.91222506256
SAPCD2,33612.72100939122
JTB,33601.30950200263
EDF1,33574.3011223053
FZR1,33500.66161333098
HNRNPL,33411.23054420188
BTG1,33355.952770221345
PLOD1,33340.4217051932
OST4,33338.36292428199
POLR2G,33318.3986302681
LGALS1,33296.9754350471
SH3GLB2,33284.791027025545
NDUFV1,33208.900509890256
FOXO1,33159.7961669376
ATIC,33138.51338974476
NRIP1,33079.2073462469
ANKZF1,33024.32434760023
VDAC1,32938.39339466596
TRAPPC2L,32924.47054802948
PTOV1,32828.72567085424
NR4A2,32803.35126378962
ATP5MJ,32779.29018632184
NUDC,32766.213292687917
PXDN,32754.25735103137
GIPC1,32637.599838694223
ZFYVE21,32618.118382021283
PUM1,32572.993998879112
PRPF3,32524.41819200853
RPS27A,32476.457971648455
TMEM179B,32386.852651292527
PLOD2,32316.695665249554
DUSP2,32315.636802318524
ARFGEF3,32291.396320041516
CEBPG,32255.21288258854
HERPUD1,32192.59956529467
RPS17,32092.307041406384
BANF1,31970.81730072593
BUD23,31966.340450835913
PSMA2,31957.326630486794
AP1B1,31860.62940685963
