,zero_rate,variance
MCM2,0.2193211488250653,181358.68211829994
DNM2,0.03655352480417755,181130.54666247452
TOB1,0.05221932114882506,180191.97263270133
PRPF6,0.04960835509138381,179468.78338550706
PMEPA1,0.09138381201044386,179363.26663294728
THBS1,0.08616187989556136,179300.84473637433
ECH1,0.04960835509138381,178786.1235766135
SNRPD2,0.04177545691906005,178066.6025453501
PTMA,0.031331592689295036,177099.21751671174
PHLDA1-AS1,0.14882506527415143,174419.65119680687
PRMT1,0.03655352480417755,173799.2377892909
FAU,0.04177545691906005,173342.54411985827
SPTSSB,0.08877284595300261,170935.39327163613
PRDX1,0.05221932114882506,170914.33792188973
ATP5F1A,0.057441253263707574,170719.16721118748
TAGLN2,0.06005221932114883,169459.20525474014
CEACAM6,0.8694516971279374,168780.69332768238
C19orf48,0.044386422976501305,167725.87296488188
CANX,0.04699738903394256,166055.2399901576
SMARCD2,0.057441253263707574,166011.96054843956
DHCR24,0.195822454308094,165649.72580755383
ESYT1,0.08877284595300261,165581.7272292318
FKBP4,0.08093994778067885,165389.53922600593
TLE1,0.06266318537859007,163741.51977362513
HNRNPC,0.04960835509138381,163477.74036608214
MAGED2,0.06527415143603134,163329.1051221413
IARS1,0.0783289817232376,159260.57967547484
PRSS23,0.10182767624020887,158358.01531037694
DDOST,0.04699738903394256,157291.7117001352
CTTN,0.04960835509138381,157097.89844572332
PFDN4,0.057441253263707574,157077.21266386885
PPP1R15A,0.06266318537859007,156892.18048473736
ADRM1,0.05221932114882506,155849.92089182962
STIP1,0.05221932114882506,155763.30772490523
CCT3,0.04699738903394256,155682.26294205314
CALM2,0.044386422976501305,155672.4776837587
AMIGO2,0.15404699738903394,154407.79049389611
H2BC21,0.09399477806788512,154395.94817710825
NRBP1,0.05221932114882506,154058.22105723617
MYL6B,0.03655352480417755,153622.7802414118
GHITM,0.05483028720626632,152281.67691003782
PTPRF,0.06788511749347259,151634.9654149524
PDIA6,0.04960835509138381,151355.38571213768
COX6A1,0.04177545691906005,150218.00501688247
TUFM,0.05483028720626632,149369.33912484793
RBCK1,0.09138381201044386,148229.1773269721
SAT1,0.10704960835509138,146477.4446570886
PIM3,0.0731070496083551,145972.22753680655
PPIB,0.04177545691906005,145847.51269257584
UCP2,0.10704960835509138,145218.87855590327
PSMB6,0.05221932114882506,143708.80748568085
HK1,0.06527415143603134,141407.98013752003
QSOX1,0.06005221932114883,139513.4784219376
CNBP,0.04177545691906005,139490.09566251573
ATP5F1E,0.04177545691906005,139350.14008994846
TXNDC5,0.08093994778067885,137837.52000601465
IRF2BP2,0.07571801566579635,137107.12687107836
COPS6,0.06005221932114883,135335.10465736192
BNIP3L,0.07571801566579635,134562.0534496193
RPL10,0.04177545691906005,134211.63398630288
DDX39A,0.06266318537859007,133778.48706136463
PRC1,0.3289817232375979,133038.43355706581
RPN1,0.05483028720626632,132863.42028351547
RPL15,0.044386422976501305,132757.9120883628
BLOC1S5-TXNDC5,0.06788511749347259,132338.60105532254
APRT,0.04699738903394256,132296.63718507774
DUSP4,0.2558746736292428,130779.28670047727
MCM3,0.2506527415143603,130564.57836315672
PIGT,0.057441253263707574,129864.35245307787
DDB1,0.057441253263707574,128713.27517668434
ILF2,0.04699738903394256,126601.94564816213
CYBA,0.04699738903394256,126313.87933509205
BCL6,0.2349869451697128,125926.90133008921
HOOK2,0.04960835509138381,123547.41275135674
CHPF,0.07571801566579635,123450.75708446674
HNRNPF,0.04960835509138381,123060.09380339835
SRSF5,0.06788511749347259,122082.42204694272
PARD6B,0.04699738903394256,121564.83570051816
IER5L,0.04699738903394256,121327.61841619619
RPL7,0.07049608355091384,120218.3631019916
TSC22D3,0.13577023498694518,120151.41411835456
DNPEP,0.05483028720626632,119837.0490478859
ITGA5,0.412532637075718,119251.3533826365
PRKAR1A,0.04699738903394256,118628.41949065667
MARCKSL1,0.06788511749347259,118072.69494074068
SURF4,0.057441253263707574,117478.30136836504
JUN,0.185378590078329,117396.69541919006
RPS6,0.044386422976501305,116738.28668680709
